142, 3506 482 3631 613 2.227973 -0.781759 0.021679 0.213008;
143, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
144, 3506 460 3631 514 2.227973 -0.586319 0.021679 0.087805;
145, 3381 154 3506 208 1.821408 0.410423 0.021679 0.087805;
146, 3506 154 3631 208 2.227973 0.410423 0.021679 0.087805;
147, 3381 482 3506 613 1.821408 -0.781759 0.021679 0.213008;
148, -1 -1 -1 -1 -9.380253 1.003257 0. 0.;
149, 3381 307 3505 460 1.821408 -0.247557 0.021505 0.24878;
150, 3005 307 3130 460 0.598463 -0.247557 0.021679 0.24878;
151, 2629 307 2755 460 -0.62123 -0.247557 0.021852 0.24878;
152, 2254 307 2379 460 -1.844176 -0.247557 0.021679 0.24878;
153, 1878 307 2003 460 -3.067121 -0.247557 0.021679 0.24878;
154, 1503 307 1628 460 -4.286814 -0.247557 0.021679 0.24878;
155, 1127 307 1252 459 -5.50976 -0.247557 0.021679 0.247154;
156, 751 307 876 460 -6.732706 -0.247557 0.021679 0.24878;
157, 376 307 501 460 -7.952399 -0.247557 0.021679 0.24878;
158, 0 307 125 460 -9.175344 -0.247557 0.021679 0.24878;
159, 3506 307 3631 460 2.227973 -0.247557 0.021679 0.24878;
160, 3131 307 3255 459 1.00828 -0.247557 0.021505 0.247154;
161, 2755 307 2880 460 -0.214666 -0.247557 0.021679 0.24878;
162, 2379 307 2504 460 -1.437612 -0.247557 0.021679 0.24878;
163, 2003 307 2128 460 -2.660557 -0.247557 0.021679 0.24878;
164, 1628 307 1753 460 -3.88025 -0.247557 0.021679 0.24878;
165, 1252 307 1377 460 -5.103196 -0.247557 0.021679 0.24878;
166, 876 307 1002 460 -6.322889 -0.247557 0.021852 0.24878;
167, 501 307 626 460 -7.545834 -0.247557 0.021679 0.24878;
168, 125 307 250 460 -8.76878 -0.247557 0.021679 0.24878;
169, 3631 307 3756 460 2.634537 -0.247557 0.021679 0.24878;
170, 3255 307 3381 460 1.414844 -0.247557 0.021852 0.24878;
171, 2880 308 3005 460 0.191898 -0.250814 0.021679 0.247154;
172, 2504 307 2629 460 -1.031047 -0.247557 0.021679 0.24878;
173, 2129 307 2253 460 -2.25074 -0.247557 0.021505 0.24878;
174, 1753 307 1878 460 -3.473686 -0.247557 0.021679 0.24878;
175, 1377 307 1502 460 -4.696631 -0.247557 0.021679 0.24878;
176, 1002 307 1127 460 -5.916324 -0.247557 0.021679 0.24878;
177, 626 307 751 460 -7.13927 -0.247557 0.021679 0.24878;
178, 250 307 376 460 -8.358963 -0.247557 0.021852 0.24878;
179, 3005 460 3130 613 0.598463 -0.745928 0.021679 0.24878;
180, 2629 460 2755 547 -0.62123 -0.638436 0.021852 0.141463;
181, 1127 460 1252 580 -5.50976 -0.693811 0.021679 0.195122;
182, 3631 460 3756 547 2.634537 -0.638436 0.021679 0.141463;
183, 2129 460 2254 580 -2.25074 -0.693811 0.021679 0.195122;
184, 1628 460 1753 547 -3.88025 -0.638436 0.021679 0.141463;
185, 2254 460 2379 547 -1.844176 -0.638436 0.021679 0.141463;
186, 1878 460 2003 613 -3.067121 -0.745928 0.021679 0.24878;
187, 1503 460 1628 514 -4.286814 -0.586319 0.021679 0.087805;
188, 751 460 876 580 -6.732706 -0.693811 0.021679 0.195122;
189, 376 460 501 515 -7.952399 -0.586319 0.021679 0.089431;
190, 0 460 125 613 -9.175344 -0.745928 0.021679 0.24878;
191, 3506 427 3756 460 2.432881 -0.442997 0.043358 0.053659;
192, 3631 515 3756 613 2.634537 -0.837134 0.021679 0.15935;
193, 3256 460 3380 547 1.414844 -0.638436 0.021505 0.141463;
194, 3256 460 3505 493 1.6165 -0.550489 0.043184 0.053659;
195, 3256 307 3505 340 1.6165 -0.052117 0.043184 0.053659;
196, 3006 427 3255 460 0.803371 -0.442997 0.043184 0.053659;
197, 3256 515 3380 612 1.414844 -0.833876 0.021505 0.157724;
198, 2755 460 2880 580 -0.214666 -0.693811 0.021679 0.195122;
199, 2880 460 3005 612 0.191898 -0.745928 0.021679 0.247154;
200, 2504 460 2629 514 -1.031047 -0.586319 0.021679 0.087805;
201, 2505 427 2754 460 -0.826139 -0.442997 0.043184 0.053659;
202, 2755 460 3004 493 -0.01301 -0.550489 0.043184 0.053659;
203, 2755 307 3004 340 -0.01301 -0.052117 0.043184 0.053659;
204, 2755 548 2880 613 -0.214666 -0.889251 0.021679 0.105691;
205, 2880 580 3005 613 0.191898 -0.941368 0.021679 0.053659;
206, 2629 515 2755 613 -0.62123 -0.837134 0.021852 0.15935;
207, 2504 482 2629 613 -1.031047 -0.781759 0.021679 0.213008;
208, 2379 460 2504 514 -1.437612 -0.586319 0.021679 0.087805;
209, 2003 460 2128 613 -2.660557 -0.745928 0.021679 0.24878;
210, 2255 460 2503 492 -1.639267 -0.550489 0.043011 0.052033;
211, 2004 427 2253 460 -2.455649 -0.442997 0.043184 0.053659;
212, 2254 515 2379 613 -1.844176 -0.837134 0.021679 0.15935;
213, 2379 482 2504 613 -1.437612 -0.781759 0.021679 0.213008;
214, 2129 548 2254 613 -2.25074 -0.889251 0.021679 0.105691;
215, 1753 460 1878 580 -3.473686 -0.693811 0.021679 0.195122;
216, 1753 460 2003 493 -3.268777 -0.550489 0.043358 0.053659;
217, 1753 307 2003 340 -3.268777 -0.052117 0.043358 0.053659;
218, 1503 427 1752 460 -4.085159 -0.442997 0.043184 0.053659;
219, 1753 548 1878 613 -3.473686 -0.889251 0.021679 0.105691;
